,Converted_Datetime,Rate,DayofWeek,rowinpriceoffutures,Day before,Day after,Ratedaybefore,Ratedayafter,Rate Changes,difference,difference type 2,difference type 3
120,2005-12-13,4.25,1,4325,2005-12-12,2005-12-14,95.73,95.73,0.25,0.0,0.14499999999999602,0.10999999999999943
121,2005-11-01,4.0,1,4297,2005-10-31,2005-11-02,95.875,95.84,0.25,-0.03499999999999659,0.394999999999996,0.394999999999996
122,2005-09-20,3.75,1,4268,2005-09-19,2005-09-21,96.27,96.235,0.25,-0.03499999999999659,0.1150000000000091,0.15000000000000568
123,2005-08-09,3.5,1,4239,2005-08-08,2005-08-10,96.385,96.385,0.25,0.0,0.2529999999999859,0.17499999999999716
124,2005-06-30,3.25,3,4212,2005-06-29,2005-07-01,96.63799999999999,96.56,0.25,-0.07799999999998875,0.33200000000000784,0.40500000000000114
125,2005-05-03,3.0,1,4171,2005-05-02,2005-05-04,96.97,96.965,0.25,-0.0049999999999954525,0.2600000000000051,0.26500000000000057
126,2005-03-22,2.75,1,4142,2005-03-21,2005-03-23,97.23,97.23,0.25,0.0,0.17499999999999716,0.17499999999999716
127,2005-02-02,2.5,2,4109,2005-02-01,2005-02-03,97.405,97.405,0.25,0.0,0.34499999999999886,0.3400000000000034
128,2004-12-14,2.25,1,4075,2004-12-13,2004-12-15,97.75,97.745,0.25,-0.0049999999999954525,0.14000000000000057,0.14000000000000057
129,2004-11-10,2.0,2,4053,2004-11-09,2004-11-12,97.89,97.885,0.25,-0.0049999999999954525,0.3649999999999949,0.36999999999999034
130,2004-09-21,1.75,1,4017,2004-09-20,2004-09-22,98.255,98.255,0.25,0.0,0.2049999999999983,0.18500000000000227
131,2004-08-10,1.5,1,3988,2004-08-09,2004-08-11,98.46,98.44,0.25,-0.01999999999999602,0.1290000000000049,0.09499999999999886
132,2004-06-30,1.25,2,3960,2004-06-29,2004-07-01,98.589,98.535,0.25,-0.054000000000002046,0.3810000000000002,0.4450000000000074
133,2004-05-04,1.0,1,3921,2004-05-03,2004-05-05,98.97,98.98,0.0,0.010000000000005116,0.030000000000001137,0.01999999999999602
134,2004-03-16,1.0,1,3887,2004-03-15,2004-03-17,99.0,99.0,0.0,0.0,-0.0010000000000047748,-0.006000000000000227
135,2004-01-28,1.0,2,3854,2004-01-27,2004-01-29,98.999,98.994,0.0,-0.0049999999999954525,-0.009000000000000341,-0.0040000000000048885
136,2003-12-09,1.0,1,3821,2003-12-08,2003-12-10,98.99,98.99,0.0,0.0,0.0,0.0020000000000095497
137,2003-10-28,1.0,1,3793,2003-10-27,2003-10-29,98.99,98.992,0.0,0.0020000000000095497,0.0,-0.0020000000000095497
138,2003-09-16,1.0,1,3763,2003-09-15,2003-09-17,98.99,98.99,0.0,0.0,0.005000000000009663,0.005000000000009663
139,2003-08-12,1.0,1,3739,2003-08-11,2003-08-13,98.995,98.995,0.0,0.0,0.1349999999999909,0.01999999999999602
140,2003-06-25,1.0,2,3706,2003-06-24,2003-06-26,99.13,99.015,-0.25,-0.11499999999999488,-0.3049999999999926,-0.22499999999999432
141,2003-05-06,1.25,1,3671,2003-05-05,2003-05-07,98.825,98.79,0.0,-0.03499999999999659,0.0049999999999954525,0.015000000000000568
142,2003-03-18,1.25,1,3637,2003-03-17,2003-03-19,98.83,98.805,0.0,-0.024999999999991473,-0.04999999999999716,-0.022999999999996135
143,2003-01-29,1.25,2,3604,2003-01-28,2003-01-30,98.78,98.78200000000001,0.0,0.0020000000000095497,-0.0049999999999954525,-0.012000000000014666
144,2003-01-09,1.25,3,3591,2003-01-08,2003-01-10,98.775,98.77,0.0,-0.005000000000009663,-0.010000000000005116,-0.0049999999999954525
145,2002-12-10,1.25,1,3571,2002-12-09,2002-12-11,98.765,98.765,0.0,0.0,0.0,0.0
